carat	cut	color	clarity	depth	table	price	x	y	z
0.54	Ideal	J	SI2	61.3	58.0	978	5.24	5.27	3.22
0.43	Ideal	H	VVS1	61.5	56.0	1298	4.86	4.89	3.0
1.21	Ideal	F	SI1	62.3	55.7	7546	6.8	6.85	4.25
0.53	Very Good	E	VVS2	60.7	59.0	2297	5.19	5.28	3.18
0.33	Very Good	H	VS2	58.8	62.0	486	4.49	4.53	2.65
0.59	Ideal	F	VS2	60.6	56.0	1834	5.43	5.48	3.31
0.27	Very Good	D	VVS2	62.2	59.0	622	4.08	4.12	2.55
0.4	Ideal	D	VS1	59.9	57.0	1200	4.82	4.77	2.87
0.42	Very Good	D	VVS2	62.8	59.0	1185	4.73	4.76	2.98
0.3	Ideal	G	VS2	62.2	57.0	675	4.32	4.26	2.67
0.36	Ideal	E	SI1	62.4	55.0	631	4.55	4.58	2.85
0.5	Premium	F	SI1	60.1	59.0	1332	5.17	5.14	3.1
0.26	Very Good	E	VVS2	63.0	58.0	597	4.08	4.11	2.58
0.72	Good	F	SI1	60.4	61.0	2446	5.75	5.8	3.49
0.5	Ideal	I	SI1	62.0	55.0	982	5.08	5.11	3.16
1.69	Ideal	F	VS2	62.2	57.0	16789	7.59	7.66	4.74
0.31	Premium	F	VS2	61.3	59.0	802	4.34	4.31	2.65
0.52	Ideal	G	VS1	61.6	54.0	1721	5.21	5.24	3.22
1.01	Premium	F	VS1	62.5	58.0	7465	6.37	6.42	4.0
0.58	Ideal	F	VS2	61.9	60.0	1811	5.32	5.35	3.3
1.09	Ideal	E	VVS2	60.9	56.0	10333	6.66	6.7	4.07
0.32	Ideal	E	SI1	61.5	55.0	682	4.4	4.44	2.72
0.35	Premium	E	IF	59.0	61.0	1148	4.64	4.62	2.73
0.35	Fair	G	VS2	65.9	54.0	1415	5.57	5.53	3.66
0.31	Very Good	F	SI1	60.7	58.0	516	4.35	4.38	2.65
0.4	Very Good	D	VS2	62.8	58.0	993	4.66	4.71	2.94
1.0	Very Good	F	VS2	62.2	55.0	6340	6.39	6.44	3.99
1.01	Ideal	F	VS2	61.9	55.0	6787	6.47	6.45	4.0
0.7	Premium	F	VS2	59.4	61.0	2838	5.83	5.79	3.45
0.61	Premium	G	SI1	60.8	60.0	1255	5.42	5.42	3.31
0.55	Ideal	G	SI1	61.7	58.0	1417	5.27	5.29	3.26
0.34	Premium	D	VS2	60.4	60.0	805	4.51	4.56	2.74
0.33	Premium	F	VS2	60.0	60.0	740	4.49	4.45	2.68
1.52	Premium	E	SI1	62.5	59.0	12305	7.26	7.33	4.56
0.71	Ideal	F	VS1	61.1	56.0	3404	5.75	5.78	3.52
0.49	Good	F	VS1	63.6	59.0	1426	4.95	4.92	3.14
0.4	Ideal	G	SI2	62.5	53.0	723	4.75	4.79	2.98
0.33	Ideal	E	VS2	61.0	57.0	723	4.43	4.46	2.71
0.4	Very Good	F	VS1	60.4	61.0	982	4.74	4.77	2.87
0.72	Very Good	E	VS2	63.8	57.0	3035	5.66	5.69	3.62
1.06	Ideal	F	IF	61.0	57.0	10995	6.55	6.64	4.02
0.91	Ideal	F	SI2	62.2	56.0	3812	6.14	6.17	3.83
1.51	Fair	G	VS1	64.9	55.0	11739	7.25	7.14	4.67
1.13	Premium	I	VS1	62.2	58.0	5316	6.68	6.63	4.14
0.42	Ideal	I	VS2	61.0	54.0	807	4.84	4.87	2.96
1.04	Premium	F	VS1	59.4	60.0	7632	6.58	6.56	3.9
0.32	Very Good	F	VVS2	63.0	56.0	721	4.37	4.39	2.76
0.3	Ideal	G	VS1	62.5	57.0	605	4.29	4.32	2.69
1.01	Ideal	I	VS1	60.3	57.0	5231	6.51	6.53	3.93
0.33	Ideal	H	SI1	60.9	56.0	511	4.5	4.53	2.75
0.34	Ideal	H	VS2	61.5	54.0	537	4.5	4.54	2.78
1.07	Ideal	E	VS2	61.8	58.0	7240	6.53	6.61	4.06
0.57	Premium	E	VS2	61.9	60.0	2069	5.35	5.31	3.3
1.29	Premium	G	VS1	62.4	58.0	9354	6.89	6.86	4.29
1.76	Ideal	F	SI2	62.6	55.0	9659	7.69	7.64	4.8
0.34	Ideal	D	VS2	62.0	55.0	1033	4.49	4.45	2.77
0.38	Very Good	D	SI1	58.9	61.0	733	4.75	4.79	2.81
1.19	Ideal	E	SI2	61.9	56.0	5598	6.84	6.8	4.22
1.5	Premium	F	SI1	61.4	59.0	11588	7.34	7.31	4.5
0.41	Ideal	D	VS2	62.4	54.0	1076	4.78	4.74	2.97
0.39	Good	I	VS2	62.3	61.0	648	4.6	4.61	2.87
0.51	Ideal	E	VVS1	61.3	56.0	3197	5.13	5.21	3.17
0.35	Very Good	H	VVS2	61.0	57.0	650	4.54	4.57	2.77
1.21	Ideal	H	SI1	62.9	57.0	4249	6.78	6.74	4.25
0.38	Ideal	J	VVS2	61.4	56.0	629	4.68	4.7	2.88
0.51	Ideal	F	VVS1	61.4	56.0	2726	5.15	5.17	3.17
1.62	Premium	F	SI1	62.6	58.0	13298	7.53	7.48	4.7
1.29	Ideal	F	SI2	60.7	58.0	6762	7.0	7.07	4.27
0.25	Very Good	H	VVS1	61.6	56.0	467	4.07	4.1	2.51
0.75	Fair	F	VS2	65.4	58.0	2648	5.63	5.68	3.7
2.41	Premium	J	VS1	61.1	60.0	15320	8.66	8.6	5.27
1.51	Premium	E	SI1	58.6	62.0	12655	7.58	7.53	4.43
0.33	Very Good	H	IF	61.7	55.0	795	4.45	4.48	2.75
0.38	Premium	J	VS2	60.5	60.0	727	4.68	4.64	2.82
1.51	Good	H	SI1	61.8	62.0	9681	7.25	7.29	4.49
0.4	Very Good	G	VVS2	59.2	63.0	945	4.88	4.81	2.87
1.21	Premium	G	VS2	62.2	60.0	7611	6.79	6.75	4.21
0.82	Ideal	H	VS2	59.5	57.0	2870	6.12	6.09	3.63
0.3	Ideal	F	IF	62.6	57.0	886	4.25	4.28	2.67
0.3	Good	H	VS1	63.9	55.0	526	4.26	4.28	2.73
0.7	Premium	F	SI1	62.9	59.0	2423	5.67	5.62	3.55
1.0	Good	H	SI2	63.2	59.0	3874	6.24	6.29	3.96
0.9	Premium	G	VS2	60.6	61.0	4079	6.19	6.13	3.73
1.02	Ideal	J	VVS2	62.1	57.0	3936	6.46	6.43	4.0
1.0	Very Good	G	VS1	62.4	57.0	6642	6.38	6.41	3.99
0.5	Very Good	E	VS2	61.4	59.0	1624	5.09	5.13	3.14
0.59	Premium	E	SI2	60.8	56.0	1195	5.43	5.4	3.29
0.73	Premium	E	SI2	60.6	59.0	2335	5.85	5.8	3.53
0.51	Very Good	H	VS1	62.3	56.0	1628	5.1	5.13	3.18
0.52	Ideal	D	SI1	61.2	57.0	1429	5.18	5.22	3.18
0.33	Ideal	G	SI2	61.7	55.0	463	4.46	4.48	2.76
0.53	Very Good	D	SI1	60.9	59.0	1415	5.18	5.2	3.16
1.02	Very Good	H	SI1	62.6	59.0	4604	6.38	6.43	4.01
0.55	Ideal	E	VS1	61.5	57.0	1857	5.27	5.23	3.23
0.32	Ideal	H	VVS1	62.0	55.0	708	4.42	4.45	2.75
0.74	Very Good	E	SI2	63.3	59.0	1632	5.82	5.78	3.67
1.25	Premium	H	SI1	60.7	58.0	5027	7.04	6.99	4.26
0.7	Premium	G	VVS2	59.3	54.0	3450	5.89	5.78	3.46
0.3	Very Good	D	SI1	63.0	58.0	552	4.24	4.27	2.68
1.07	Premium	H	SI2	62.2	59.0	4119	6.47	6.53	4.04
1.01	Very Good	G	VS2	63.2	55.0	5701	6.39	6.34	4.02
1.53	Ideal	G	SI1	60.1	57.0	10947	7.46	7.57	4.52
1.5	Good	G	VS2	59.0	58.0	11294	7.41	7.45	4.38
0.54	Ideal	G	VVS2	62.1	56.0	2090	5.22	5.19	3.23
0.66	Ideal	G	VVS1	61.5	56.0	2890	5.61	5.58	3.44
1.13	Premium	E	SI2	59.4	62.0	4040	6.83	6.78	4.04
0.37	Very Good	G	VS1	58.3	62.0	696	4.72	4.75	2.76
1.04	Very Good	F	SI2	62.8	55.0	4244	6.41	6.48	4.05
0.37	Ideal	J	SI1	60.5	57.0	497	4.63	4.66	2.81
0.3	Good	G	VVS2	63.1	56.0	684	4.2	4.23	2.66
0.9	Good	I	VVS1	63.6	58.0	4187	6.1	6.14	3.89
0.51	Good	F	SI1	63.6	58.0	1308	5.05	5.08	3.22
0.35	Very Good	G	VVS1	61.2	57.0	842	4.55	4.58	2.79
0.5	Very Good	E	SI1	61.5	62.0	1316	5.06	5.09	3.12
0.31	Ideal	F	SI1	62.3	55.0	490	4.34	4.39	2.72
1.71	Ideal	G	VS1	62.2	55.0	17595	7.72	7.65	4.78
1.01	Very Good	I	SI1	63.1	57.0	4313	6.32	6.36	4.0
0.51	Ideal	I	VS2	62.1	54.0	1131	5.12	5.16	3.19
0.5	Premium	D	VS2	62.8	58.0	1845	5.08	5.05	3.18
0.3	Ideal	E	VVS1	61.0	56.0	813	4.34	4.38	2.66
2.02	Good	I	VS1	65.5	57.0	15765	7.88	7.96	5.19
0.41	Premium	G	VS2	61.6	58.0	1061	4.78	4.73	2.93
0.52	Ideal	E	VS2	61.2	56.0	1815	5.23	5.16	3.18
1.05	Good	E	SI1	64.2	61.0	4878	6.33	6.41	4.09
1.16	Ideal	G	VS2	60.7	58.0	7128	6.86	6.81	4.15
0.26	Premium	E	VVS2	61.7	61.0	724	4.12	4.08	2.53
0.76	Ideal	H	SI1	61.2	57.0	2765	5.88	5.91	3.61
0.31	Premium	F	VS2	59.0	59.0	802	4.47	4.44	2.63
0.72	Ideal	E	SI1	62.1	57.0	2608	5.71	5.75	3.56
0.58	Ideal	F	VS1	62.1	56.0	2088	5.38	5.32	3.32
0.7	Good	F	VS2	63.5	56.0	2212	5.64	5.45	3.52
0.9	Ideal	E	SI2	61.8	56.0	4770	6.18	6.22	3.83
1.01	Premium	H	SI2	61.6	60.0	3676	6.22	6.18	3.82
0.34	Good	F	SI1	61.9	56.0	581	4.5	4.52	2.79
0.38	Ideal	H	VVS2	62.2	54.6	832	4.62	4.66	2.89
0.73	Ideal	D	VS1	61.5	58.0	4196	5.76	5.79	3.55
0.9	Very Good	E	SI1	63.5	55.0	3508	6.22	6.12	3.92
0.96	Fair	H	I1	68.9	59.0	1773	6.09	5.96	4.15
1.11	Very Good	G	VS2	63.4	56.0	4834	6.62	6.54	4.18
1.05	Ideal	I	VS2	60.3	57.0	5697	6.57	6.63	3.98
0.7	Good	H	VS1	63.9	58.0	2367	5.67	5.59	3.6
0.31	Premium	F	VVS1	59.4	58.0	766	4.41	4.45	2.63
0.77	Good	D	SI2	64.9	53.0	2523	5.84	5.75	3.76
1.03	Premium	H	SI1	62.2	60.0	4843	6.4	6.43	3.99
0.72	Very Good	F	VVS1	62.1	55.0	3762	5.72	5.78	3.57
1.7	Premium	I	SI2	61.7	56.0	7140	7.66	7.57	4.7
1.19	Premium	I	VS1	59.9	61.0	5747	6.91	6.85	4.12
0.52	Ideal	E	VS2	60.9	57.0	1689	5.21	5.23	3.18
0.5	Very Good	F	VS2	62.8	57.0	1402	5.05	5.08	3.18
0.36	Premium	H	VS1	61.6	59.0	810	4.57	4.52	2.8
0.91	Fair	D	VS2	65.1	63.0	4439	6.02	6.0	3.91
1.04	Very Good	I	SI1	64.1	57.0	4190	6.35	6.38	4.08
0.35	Premium	H	VVS1	62.1	58.0	1024	4.52	4.46	2.79
0.56	Ideal	F	VS1	61.9	55.0	2016	5.36	5.32	3.3
1.21	Premium	H	SI2	61.9	55.0	5218	6.84	6.79	4.22
1.13	Very Good	H	SI1	63.3	56.0	4689	6.65	6.62	4.2
1.25	Ideal	H	VS2	61.1	55.0	8498	6.94	6.97	4.25
0.8	Ideal	F	VVS2	61.6	57.0	4140	5.97	5.94	3.67
0.32	Ideal	F	SI1	61.4	54.0	586	4.42	4.44	2.72
1.57	Premium	G	SI1	59.5	58.0	11113	7.61	7.56	4.51
0.74	Very Good	D	VS2	62.2	59.0	3498	5.8	5.84	3.62
1.13	Ideal	F	VS2	61.8	54.0	7756	6.72	6.73	4.15
1.06	Premium	G	VS2	62.3	59.0	5813	6.52	6.49	4.05
0.68	Ideal	G	VS1	61.7	55.0	2526	5.71	5.66	3.51
0.37	Premium	I	VS2	61.1	59.0	666	4.65	4.58	2.82
0.58	Ideal	H	VS2	62.4	58.0	1600	5.3	5.34	3.32
0.9	Premium	F	SI1	62.8	59.0	3992	6.16	6.13	3.86
0.85	Premium	F	VVS2	61.2	60.0	4530	6.1	6.13	3.74
0.77	Ideal	D	SI2	62.1	56.0	2896	5.83	5.89	3.64
0.3	Premium	D	SI1	62.1	59.0	662	4.31	4.29	2.67
0.3	Ideal	E	VVS2	62.0	56.0	742	4.3	4.34	2.68
0.3	Ideal	F	SI1	61.2	55.0	609	4.35	4.37	2.67
0.23	Very Good	E	VS2	62.4	60.0	400	3.9	3.92	2.44
1.09	Good	D	IF	58.7	61.0	16406	6.75	6.85	3.99
1.5	Premium	G	SI2	60.7	58.0	8316	7.39	7.33	4.47
1.12	Very Good	H	SI1	63.1	56.0	4673	6.62	6.59	4.17
1.51	Premium	H	IF	60.2	60.0	13075	7.41	7.44	4.47
0.46	Ideal	H	VVS1	62.3	54.0	1227	4.96	4.99	3.1
0.9	Good	F	VS2	60.0	58.0	4655	6.21	6.26	3.74
0.43	Ideal	F	VVS2	61.5	55.0	1148	4.85	4.88	2.99
0.51	Ideal	E	SI1	62.5	56.0	1343	5.07	5.1	3.18
0.31	Premium	H	SI1	61.7	59.0	558	4.39	4.36	2.7
0.31	Ideal	D	SI2	62.9	54.0	593	4.35	4.3	2.72
0.72	Ideal	D	VS1	62.5	55.0	3629	5.71	5.74	3.58
0.41	Ideal	E	VS1	60.9	57.0	1079	4.76	4.79	2.91
1.12	Premium	H	VS1	62.1	58.0	5845	6.6	6.64	4.11
0.9	Ideal	F	SI1	61.5	56.0	4284	6.25	6.2	3.83
0.23	Very Good	D	VVS2	61.9	60.0	505	3.9	3.95	2.43
0.72	Ideal	H	SI2	60.8	56.0	2252	5.79	5.83	3.53
1.52	Ideal	G	VS1	61.8	56.0	14482	7.4	7.45	4.59
0.58	Very Good	J	SI1	62.1	57.0	1095	5.35	5.41	3.34
0.28	Good	E	VVS1	64.6	55.0	492	4.15	4.18	2.69
0.55	Very Good	G	VS2	61.6	56.0	1563	5.26	5.3	3.25
0.24	Very Good	E	VS2	63.1	56.0	419	3.95	3.98	2.5
0.58	Ideal	F	SI1	62.2	57.0	1705	5.37	5.33	3.33
1.13	Very Good	F	SI2	59.1	59.0	5014	6.81	6.87	4.04
0.7	Very Good	G	VVS1	62.4	59.0	3208	5.63	5.66	3.52
0.3	Ideal	F	SI1	62.3	54.0	475	4.3	4.34	2.69
1.06	Good	H	SI1	57.2	60.0	4060	6.84	6.74	3.88
0.41	Ideal	G	SI1	61.4	56.0	759	4.81	4.83	2.96
1.43	Fair	E	SI1	65.1	56.0	7928	7.1	7.03	4.61
0.3	Ideal	E	VVS2	61.4	55.0	1053	4.34	4.36	2.67
0.8	Premium	E	VS2	63.0	56.0	3494	5.91	5.84	3.7
0.44	Ideal	G	VVS1	62.0	54.0	1160	4.89	4.91	3.04
1.95	Premium	H	I1	60.3	59.0	5045	8.1	8.05	4.87
1.0	Good	F	SI1	64.9	57.0	4844	6.25	6.32	4.08
1.23	Premium	G	SI1	62.4	55.0	6750	6.89	6.83	4.28
1.01	Ideal	J	SI1	62.1	54.0	3207	6.48	6.4	4.0
0.71	Ideal	G	VVS2	61.5	57.0	2893	5.73	5.75	3.53
0.71	Ideal	F	SI2	62.1	56.0	2637	5.75	5.7	3.56
0.32	Premium	G	VVS1	62.6	58.0	842	4.38	4.41	2.75
0.43	Premium	E	SI2	62.7	55.0	919	4.87	4.83	3.04
1.5	Premium	I	VVS2	61.4	58.0	11007	7.38	7.32	4.51
0.35	Premium	D	SI1	62.1	58.0	644	4.51	4.54	2.81
1.2	Very Good	G	VS2	63.3	57.0	6580	6.69	6.64	4.22
2.5	Fair	H	SI2	64.9	58.0	13278	8.46	8.43	5.48
0.42	Ideal	J	VS1	61.4	55.0	664	4.83	4.85	2.97
0.51	Ideal	E	SI1	62.1	55.0	1438	5.09	5.15	3.18
0.34	Ideal	F	SI1	61.1	56.0	537	4.52	4.55	2.77
0.56	Premium	D	SI1	59.9	60.0	1814	5.39	5.33	3.21
1.55	Premium	H	SI2	58.0	60.0	6458	7.61	7.58	4.41
0.4	Ideal	E	SI1	62.7	57.0	945	4.72	4.69	2.95
0.72	Premium	I	SI1	60.8	58.0	1858	5.83	5.78	3.53
0.36	Ideal	G	SI1	61.1	55.0	571	4.58	4.62	2.81
1.1	Ideal	F	VS1	61.5	55.0	8796	6.69	6.64	4.1
1.21	Good	J	VS2	61.0	64.0	5096	6.89	6.79	4.17
0.71	Very Good	E	SI1	60.3	58.0	2570	5.8	5.85	3.51
1.5	Premium	D	SI2	59.9	60.0	10090	7.48	7.41	4.46
0.7	Fair	D	SI1	66.5	55.0	2339	5.51	5.47	3.65
1.59	Premium	H	SI1	61.0	58.0	8829	7.58	7.51	4.6
2.01	Ideal	I	SI1	64.8	62.0	16287	7.92	7.82	5.1
0.4	Ideal	D	VVS1	61.5	55.0	1354	4.78	4.82	2.95
1.07	Ideal	I	VS1	62.0	57.0	5302	6.56	6.5	4.05
0.4	Ideal	G	VS1	62.4	57.0	1125	4.74	4.72	2.95
0.26	Very Good	G	VS2	62.4	57.0	397	4.09	4.12	2.56
0.9	Very Good	F	VS2	63.4	57.0	4637	6.19	6.08	3.89
0.7	Ideal	G	VS1	61.9	57.0	2724	5.7	5.68	3.52
2.13	Ideal	J	VS2	62.1	55.0	15258	8.23	8.29	5.13
0.5	Ideal	J	VS2	62.0	56.0	1166	5.08	5.12	3.16
0.41	Premium	E	VS2	61.3	58.0	999	4.79	4.74	2.92
1.31	Premium	I	SI2	60.5	59.0	5744	7.11	7.04	4.28
0.3	Good	E	VVS2	59.8	64.0	1026	4.34	4.29	2.58
0.39	Good	G	VS2	63.8	59.0	787	4.66	4.59	2.95
0.79	Ideal	I	SI1	61.2	55.0	2507	5.95	5.98	3.65
0.24	Very Good	F	VS2	61.9	59.0	419	3.98	4.0	2.47
0.36	Ideal	I	IF	62.0	55.0	735	4.59	4.61	2.85
0.3	Premium	I	IF	60.5	59.0	810	4.34	4.32	2.62
0.34	Ideal	F	VS1	62.2	56.0	956	4.47	4.44	2.77
1.25	Good	I	SI2	63.3	55.8	5197	6.83	6.87	4.34
0.93	Very Good	D	SI1	60.8	60.0	3880	6.24	6.3	3.81
0.33	Ideal	G	VS1	62.1	55.0	666	4.43	4.46	2.76
0.53	Ideal	I	VS1	61.6	57.0	1383	5.21	5.18	3.2
0.38	Ideal	G	SI2	62.0	55.0	532	4.66	4.69	2.9
1.08	Ideal	G	SI1	61.4	56.0	4771	6.62	6.6	4.06
0.71	Ideal	E	VS2	62.5	56.0	3304	5.69	5.71	3.56
2.06	Very Good	I	SI2	62.3	57.0	14298	8.12	8.2	5.09
0.33	Premium	F	VS2	62.4	58.0	854	4.41	4.37	2.74
0.35	Ideal	D	VS2	62.5	56.0	790	4.51	4.55	2.83
0.5	Very Good	H	VS1	61.0	56.0	1598	5.1	5.13	3.12
1.02	Fair	E	SI1	65.7	58.0	5681	6.23	6.31	4.12
1.01	Premium	G	IF	60.0	61.0	8120	6.45	6.41	3.86
0.71	Very Good	D	VVS2	62.3	60.0	3799	5.65	5.71	3.54
0.32	Very Good	E	VS2	62.8	54.0	702	4.35	4.38	2.74
1.01	Good	F	SI1	57.4	57.0	4632	6.52	6.48	3.73
0.32	Premium	G	SI1	61.6	58.0	477	4.36	4.4	2.7
0.33	Premium	I	VS1	62.7	58.0	668	4.43	4.4	2.77
1.51	Premium	I	SI2	60.4	56.0	7577	7.4	7.36	4.46
1.37	Very Good	I	SI2	63.0	57.0	5584	6.98	7.05	4.42
1.48	Very Good	I	VS2	63.0	58.0	8196	7.16	7.19	4.52
1.01	Very Good	F	VS1	63.7	56.0	7001	6.27	6.33	4.01
0.41	Very Good	E	SI1	63.5	57.0	969	4.73	4.69	2.99
0.7	Very Good	J	VS2	63.2	57.0	1997	5.63	5.66	3.57
2.06	Very Good	J	SI1	62.0	57.0	11764	8.11	8.17	5.05
0.3	Ideal	F	VS2	62.1	57.0	568	4.27	4.3	2.66
1.02	Good	G	I1	57.4	59.0	2344	6.64	6.6	3.8
0.3	Ideal	F	VS2	61.9	55.0	776	4.32	4.31	2.67
0.37	Very Good	E	SI2	61.9	55.0	541	4.63	4.67	2.87
2.11	Ideal	I	VS2	62.2	55.0	17712	8.2	8.26	5.12
0.41	Good	D	SI1	63.4	56.0	707	4.73	4.76	3.01
1.02	Very Good	G	SI2	63.8	55.0	4501	6.37	6.4	4.07
2.01	Premium	E	SI2	62.6	58.0	14502	8.01	7.93	4.99
0.32	Ideal	I	VS1	62.0	54.0	523	4.37	4.41	2.72
0.41	Very Good	F	VS2	61.1	56.0	863	4.79	4.84	2.94
1.54	Ideal	F	VS1	60.5	56.0	17949	7.52	7.49	4.54
1.31	Ideal	G	VS2	61.9	56.0	9085	7.08	7.05	4.37
1.1	Ideal	I	SI2	62.6	55.0	4624	6.57	6.6	4.13
0.31	Ideal	H	SI1	61.3	55.0	421	4.36	4.41	2.69
1.36	Premium	J	VS2	61.9	59.0	6626	7.09	7.06	4.38
1.0	Very Good	F	SI1	61.8	59.0	4712	6.33	6.38	3.93
0.71	Very Good	H	SI1	63.1	57.0	2207	5.65	5.61	3.55
0.93	Fair	G	SI2	66.1	58.1	3172	6.0	6.04	3.98
0.7	Very Good	E	VS2	62.7	58.0	2843	5.65	5.67	3.55
1.0	Good	E	VS1	60.1	63.0	7556	6.42	6.45	3.87
1.05	Very Good	G	SI1	61.6	57.0	5197	6.51	6.54	4.02
0.59	Very Good	D	SI1	62.8	57.0	1743	5.32	5.38	3.36
0.58	Premium	H	SI1	59.7	57.0	1332	5.47	5.41	3.25
0.31	Ideal	F	VVS2	61.2	56.0	977	4.39	4.37	2.68
1.38	Ideal	G	VS1	62.2	54.0	11527	7.18	7.14	4.45
0.3	Ideal	F	VS2	60.7	56.0	605	4.32	4.34	2.63
0.41	Ideal	H	VS1	61.0	54.0	1024	4.84	4.8	2.94
1.51	Premium	H	VS1	62.1	58.0	10775	7.32	7.26	4.53
0.3	Ideal	F	VVS1	61.8	57.0	814	4.3	4.34	2.67
0.7	Ideal	D	VS2	62.8	57.0	2998	5.69	5.75	3.59
1.22	Premium	I	VS1	61.1	58.0	6121	6.91	6.84	4.2
1.88	Very Good	D	SI2	63.2	60.0	9791	7.84	7.79	4.94
0.7	Very Good	I	SI1	63.5	59.0	1999	5.65	5.62	3.58
0.75	Premium	H	SI2	63.0	58.0	2295	5.79	5.76	3.64
1.52	Fair	H	I1	64.9	58.0	3504	7.18	7.13	4.65
1.01	Ideal	H	SI1	62.6	55.0	4965	6.44	6.38	4.01
0.77	Ideal	H	VS2	62.4	56.0	2479	5.89	5.85	3.66
1.2	Very Good	J	SI2	61.2	58.0	4523	6.77	6.82	4.16
0.7	Good	D	VVS1	59.2	59.0	4198	5.76	5.79	3.42
0.7	Ideal	J	SI1	60.4	56.0	1926	5.71	5.74	3.46
0.5	Good	F	VS2	57.8	63.0	1279	5.2	5.15	2.99
0.54	Premium	D	SI1	62.0	55.0	1786	5.24	5.21	3.24
3.01	Premium	F	I1	62.2	56.0	9925	9.24	9.13	5.73
0.31	Ideal	H	IF	62.3	55.0	789	4.32	4.35	2.7
0.3	Ideal	H	VVS1	61.9	55.0	684	4.32	4.34	2.68
1.15	Premium	G	SI2	62.5	55.0	4861	6.72	6.68	4.19
0.42	Premium	D	VS1	60.8	59.0	1179	4.79	4.85	2.93
1.14	Very Good	F	VS2	58.3	60.0	7293	6.87	6.91	4.02
0.31	Premium	G	VS1	62.1	58.0	802	4.36	4.31	2.69
1.03	Ideal	F	VS2	62.3	56.0	7392	6.43	6.45	4.01
1.0	Premium	F	VVS1	62.6	58.0	8736	6.45	6.33	4.0
0.62	Very Good	H	VS2	61.8	57.0	1734	5.47	5.5	3.39
0.54	Ideal	F	VVS1	61.6	55.0	2977	5.28	5.27	3.25
1.01	Premium	G	VS2	63.0	56.0	5864	6.41	6.35	4.02
0.8	Very Good	F	SI2	61.0	57.0	2772	6.01	6.03	3.67
1.09	Very Good	E	SI2	60.9	59.0	5035	6.61	6.75	4.07
1.41	Very Good	F	SI2	61.4	59.0	7215	7.17	7.2	4.41
0.34	Ideal	E	SI1	60.7	57.0	596	4.48	4.51	2.73
2.05	Premium	E	SI2	58.6	59.0	17066	8.43	8.36	4.92
0.42	Good	D	SI2	60.7	61.0	617	4.78	4.84	2.92
1.04	Very Good	I	SI1	61.9	58.0	4426	6.45	6.47	4.0
0.53	Good	E	VS2	64.0	55.0	1607	5.11	5.14	3.28
0.73	Premium	F	VS2	58.7	57.0	2882	5.97	5.92	3.49
0.3	Premium	G	VS1	61.3	58.0	776	4.33	4.29	2.64
0.53	Ideal	F	VVS2	62.3	56.0	1943	5.2	5.24	3.25
0.38	Ideal	E	SI2	61.5	55.0	603	4.69	4.72	2.89
0.71	Ideal	H	SI1	60.7	59.0	2328	5.75	5.81	3.51
